location,Max_cases,population
"Micronesia (country)",1,115021
Samoa,1,198410
Vanuatu,2,307150
"Marshall Islands",3,59194
"Saint Kitts and Nevis",5,53192
"Solomon Islands",5,686878
Vatican,7,809
Fiji,12,896444
Dominica,17,71991
Brunei,26,437483
Grenada,26,112519
Taiwan,27,23816775
Monaco,45,39244
Bhutan,57,771612
Liechtenstein,62,38137
Mauritius,62,1271767
"Antigua and Barbuda",82,97928
"New Zealand",89,4822233
"San Marino",89,33938
Chad,91,16425859
Liberia,97,5057677
Iceland,106,341250
Vietnam,110,97338583
Laos,113,7275556
Suriname,139,586634
Niger,145,24206636
"Sierra Leone",146,7976985
"Sao Tome and Principe",151,219161
Guinea-Bissau,156,1967998
"Saint Vincent and the Grenadin",158,110947
Timor,158,1318442
Burundi,166,11890781
Syria,172,17500657
Yemen,174,29825968
Tanzania,181,59734213
Barbados,207,287371
Eritrea,209,3546427
Tajikistan,211,9537642
Guyana,214,786559
Comoros,234,869595
"Central African Republic",246,4829764
Gambia,248,2416664
Haiti,284,11402533
Mauritania,296,4649660
Andorra,299,77265
Bahamas,310,393248
Seychelles,314,98340
"Burkina Faso",315,20903278
Guinea,315,13132792
Somalia,325,15893219
"Trinidad and Tobago",328,1399491
"South Sudan",348,11193729
Angola,355,32866268
"Saint Lucia",389,183629
Togo,405,8278737
Mali,413,20250834
Djibouti,415,988002
Senegal,462,16743930
Maldives,465,540542
Nicaragua,480,6624554
"Cape Verde",491,555988
Malta,510,441539
"Democratic Republic of Congo",547,89561404
"Papua New Guinea",551,8947027
Rwanda,574,12952209
Gabon,595,2225728
Benin,637,12123198
Congo,649,5518092
Namibia,683,2540916
Australia,716,25499881
"Cote d'Ivoire",767,26378275
Finland,863,5540718
Montenegro,874,628062
Jamaica,878,2961161
Cambodia,880,16718971
Lesotho,931,2142252
Cyprus,941,875899
Uzbekistan,981,33469199
"El Salvador",998,6486201
Eswatini,1017,1160164
Algeria,1133,43851043
Madagascar,1201,27691019
Sudan,1215,43849269
"South Korea",1237,51269183
Albania,1239,2877800
Cuba,1241,11326616
Mozambique,1275,31255435
Bahrain,1316,1701583
Malawi,1316,19129955
Zimbabwe,1365,14862927
Belize,1382,397621
Singapore,1426,5850343
Afghanistan,1485,38928341
"North Macedonia",1511,2083380
Ghana,1583,31072945
Libya,1639,6871287
"Sri Lanka",1662,21413250
Norway,1680,5421242
Kuwait,1716,4270563
"Equatorial Guinea",1750,1402985
Egypt,1774,102334403
Venezuela,1786,28435943
Zambia,1796,18383956
Uganda,1859,45741000
Latvia,1861,1886202
Estonia,1956,1326539
Luxembourg,1967,625976
Belarus,1975,9449321
Kenya,2008,53771300
Myanmar,2158,54409794
Moldova,2273,4033963
Qatar,2355,2881060
Botswana,2356,2351625
"Dominican Republic",2370,10847904
Ethiopia,2372,114963583
Nigeria,2464,206139587
Armenia,2476,2963234
Mongolia,2527,3278292
Honduras,2720,9904608
Thailand,2839,69799978
Bolivia,2866,11673029
Palestine,2884,5101416
"Costa Rica",3115,5094114
Slovenia,3354,2078932
Oman,3544,5106622
"Bosnia and Herzegovina",3755,3280815
Paraguay,3836,7132530
"United Arab Emirates",3977,9890400
Lithuania,3984,2722291
Guatemala,4233,17915567
Kosovo,4257,1932774
Greece,4322,10423056
Azerbaijan,4451,10139175
Denmark,4508,5792203
Croatia,4620,4105268
"Saudi Arabia",4919,34813867
Panama,5186,4314768
Georgia,5450,3989175
Malaysia,5728,32365998
Nepal,5743,29136808
Tunisia,5752,11818618
Lebanon,6154,6825442
Morocco,6195,36910558
Slovakia,6315,5459643
Uruguay,7289,3473727
Bulgaria,7560,6948445
Bangladesh,7626,164689383
Japan,7914,126476458
Ireland,8227,4937796
Iraq,8696,40222503
Jordan,9535,10203140
Austria,9586,9006400
Cameroon,9668,26545864
Serbia,9983,6804596
Romania,10269,19237682
Hungary,11265,9660350
Kyrgyzstan,11505,6524191
Ecuador,11536,17643060
Israel,11934,8655541
Pakistan,12073,220892331
Netherlands,13072,17134873
Chile,13990,19116209
Indonesia,14518,273523621
China,15136,1439323774
Philippines,15298,109581085
Canada,16141,37742157
Portugal,16432,10196707
Czechia,17773,10708982
Kazakhstan,18757,18776707
Ukraine,20456,43733759
Colombia,21078,50882884
Peru,21358,32971846
Switzerland,21926,8654618
"South Africa",21980,59308690
Belgium,23921,11589616
Iran,25582,83992953
Mexico,28115,128932753
Argentina,29472,45195777
Russia,29499,145934460
Sweden,32485,10099270
Poland,35253,37846605
Italy,40902,60461828
Germany,49044,83783945
Turkey,63082,84339067
"United Kingdom",68192,67886004
Spain,93822,46754783
Brazil,100158,212559409
France,117900,68147687
"United States",300310,331002647
India,401993,1380004385
