date,People_Vaccinated,Percent_Vaccinated,Lagged_cases
2020-12-15,135702,0.0001,NULL
2020-12-16,434700,0.0003,NULL
2020-12-17,789831,0.0005,NULL
2020-12-18,750708,0.0005,NULL
2020-12-19,136080,0.0001,NULL
2020-12-20,1553391,0.0011,NULL
2020-12-21,17183691,0.0119,NULL
2020-12-22,9517662,0.0066,NULL
2020-12-23,13480236,0.0094,NULL
2020-12-24,17904348,0.0124,NULL
2020-12-25,8258355,0.0057,NULL
2020-12-26,7549840,0.0052,NULL
2020-12-27,21011530,0.0146,NULL
2020-12-28,34333380,0.0239,NULL
2020-12-29,51138310,0.0355,NULL
2020-12-30,59229460,0.0412,NULL
2020-12-31,53471214,0.0372,NULL
2021-01-01,21445490,0.0149,NULL
2021-01-02,34491080,0.0240,NULL
2021-01-03,42785150,0.0297,NULL
2021-01-04,70077510,0.0487,110
2021-01-05,141194510,0.0981,89
2021-01-06,166674270,0.1158,108
2021-01-07,225896890,0.1569,87
2021-01-08,250554520,0.1741,132
2021-01-09,69767430,0.0485,97
2021-01-10,51910438,0.0361,100
2021-01-11,123985516,0.0861,78
2021-01-12,241175888,0.1676,70
2021-01-13,418732414,0.2909,85
2021-01-14,476644420,0.3312,77
2021-01-15,520841112,0.3619,81
2021-01-16,201930332,0.1403,91
2021-01-17,129513430,0.0900,88
2021-01-18,244985916,0.1702,77
2021-01-19,314271658,0.2183,79
2021-01-20,467283726,0.3247,87
2021-01-21,579902064,0.4029,60
2021-01-22,678803860,0.4716,63
2021-01-23,581802088,0.4042,74
2021-01-24,426788010,0.2965,86
2021-01-25,512056710,0.3558,64
2021-01-26,500580828,0.3478,88
2021-01-27,647732861,0.4500,86
2021-01-28,837159369,0.5816,78
2021-01-29,833214200,0.5789,128
2021-01-30,725495000,0.5041,134
2021-01-31,532128606,0.3697,96
2021-02-01,553671400,0.3847,175
2021-02-02,500133600,0.3475,180
2021-02-03,736490532,0.5117,173
2021-02-04,929814888,0.6460,168
2021-02-05,781089156,0.5427,159
2021-02-06,858211140,0.5963,164
2021-02-07,636989437,0.4426,225
2021-02-08,643581305,0.4471,159
2021-02-09,646877295,0.4494,221
2021-02-10,956307985,0.6644,242
2021-02-11,948157390,0.6588,100
2021-02-12,1109178740,0.7706,161
2021-02-13,923661120,0.6417,200
2021-02-14,689457640,0.4790,155
2021-02-15,422543745,0.2936,139
2021-02-16,699065375,0.4857,114
2021-02-17,986730805,0.6856,91
2021-02-18,1207958605,0.8393,102
2021-02-19,1105212195,0.7679,120
2021-02-20,799473555,0.5555,95
2021-02-21,613343805,0.4261,64
2021-02-22,643748558,0.4473,50
2021-02-23,831788448,0.5779,49
2021-02-24,1057306536,0.7346,42
2021-02-25,1237301714,0.8596,50
2021-02-26,1235829638,0.8586,30
2021-02-27,1075577088,0.7473,41
2021-02-28,766214322,0.5323,46
2021-03-01,841101914,0.5844,40
2021-03-02,1124790488,0.7815,19
2021-03-03,1443253098,1.0027,33
2021-03-04,1654170112,1.1493,32
2021-03-05,1620742904,1.1260,19
2021-03-06,1413735152,0.9822,21
2021-03-07,761136422,0.5288,25
2021-03-08,1272167214,0.8839,15
2021-03-09,1341774614,0.9322,27
2021-03-10,1544751770,1.0732,18
2021-03-11,1576784564,1.0955,21
2021-03-12,1986051768,1.3799,22
2021-03-13,2014599248,1.3997,31
2021-03-14,685511556,0.4763,26
2021-03-15,1776327494,1.2341,24
2021-03-16,1633656838,1.1350,24
2021-03-17,1830388486,1.2717,19
2021-03-18,1946834724,1.3526,34
2021-03-19,2142556148,1.4886,39
2021-03-20,1974195026,1.3716,41
2021-03-21,1130762222,0.7856,25
2021-03-22,1886425224,1.3106,23
2021-03-23,2551055178,1.7724,24
2021-03-24,2673035400,1.8571,18
2021-03-25,3210347054,2.2305,21
2021-03-26,3655897656,2.5400,21
2021-03-27,2958790154,2.0557,35
2021-03-28,2120571004,1.4733,17
2021-03-29,2190302192,1.5218,26
2021-03-30,2494042512,1.7328,19
2021-03-31,3404290448,2.3652,31
2021-04-01,4076891312,2.8325,67
2021-04-02,3953271296,2.7466,57
2021-04-03,2764545264,1.9207,29
2021-04-04,2382367728,1.6552,43
2021-04-05,2621478704,1.8213,22
2021-04-06,2973698624,2.0660,17
2021-04-07,3469030448,2.4102,21
2021-04-08,4502067537,3.1279,17
2021-04-09,4305383489,2.9913,20
2021-04-10,3433664208,2.3856,15
2021-04-11,2530001552,1.7578,27
2021-04-12,3343079187,2.3227,22
2021-04-13,3807510597,2.6453,21
2021-04-14,3519921808,2.4455,20
2021-04-15,3494688471,2.4280,23
2021-04-16,3414599556,2.3724,17
2021-04-17,2685743334,1.8660,13
2021-04-18,2048925440,1.4235,16
2021-04-19,2680434714,1.8623,18
2021-04-20,2341905232,1.6271,22
2021-04-21,3080360135,2.1401,22
2021-04-22,4359544056,3.0289,45
2021-04-23,3469979282,2.4108,22
2021-04-24,2569356776,1.7851,40
2021-04-25,2147607036,1.4921,40
2021-04-26,3222211101,2.2387,19
2021-04-27,3628690773,2.5211,33
2021-04-28,4375652994,3.0401,31
2021-04-29,4612617702,3.2047,28
2021-04-30,4240326090,2.9461,15
