Country,Total_Deaths,Total_Cases
Afghanistan,2625,59745
Albania,2394,131085
Algeria,3253,122108
Andorra,125,13232
Angola,596,26652
Anguilla,NULL,NULL
"Antigua and Barbuda",32,1232
Argentina,63865,2977363
Armenia,4108,216064
Aruba,NULL,NULL
Australia,910,29811
Austria,10205,618870
Azerbaijan,4517,319109
Bahamas,199,10453
Bahrain,646,176934
Bangladesh,11450,759132
Barbados,44,3855
Belarus,2542,358738
Belgium,24230,990229
Belize,323,12668
Benin,99,7821
Bermuda,NULL,NULL
Bhutan,1,1074
Bolivia,12951,303732
"Bosnia and Herzegovina",8551,198461
Botswana,712,46934
Brazil,403781,14659011
Brunei,3,224
Bulgaria,16399,404380
"Burkina Faso",157,13310
Burundi,6,3995
Cambodia,93,13402
Cameroon,1107,72250
Canada,24220,1228367
"Cape Verde",217,23882
"Cayman Islands",NULL,NULL
"Central African Republic",88,6411
Chad,170,4817
Chile,26353,1198245
China,4845,102494
Colombia,73720,2859724
Comoros,146,3834
Congo,144,10678
"Costa Rica",3231,250991
"Cote d'Ivoire",286,46036
Croatia,7081,332183
Cuba,644,106707
Curacao,NULL,NULL
Cyprus,308,65233
Czechia,29267,1630758
"Democratic Republic of Congo",766,29853
Denmark,2484,251249
Djibouti,143,11100
Dominica,NULL,174
"Dominican Republic",3480,266561
Ecuador,18631,381862
Egypt,13339,227552
"El Salvador",2124,69198
"Equatorial Guinea",112,7694
Eritrea,10,3671
Estonia,1161,122019
Eswatini,671,18458
Ethiopia,3688,257442
"Faeroe Islands",NULL,NULL
"Falkland Islands",NULL,NULL
Fiji,2,117
Finland,914,86808
France,104675,5677835
Gabon,139,23075
Gambia,174,5898
Georgia,4110,310310
Germany,83097,3405365
Ghana,779,92562
Gibraltar,NULL,NULL
Greece,10381,345033
Greenland,NULL,NULL
Grenada,1,160
Guatemala,7524,227671
Guernsey,NULL,NULL
Guinea,144,22215
Guinea-Bissau,67,3734
Guyana,296,13283
Haiti,254,13056
Honduras,5281,212333
"Hong Kong",NULL,NULL
Hungary,27540,779348
Iceland,29,6472
India,211853,19164969
Indonesia,45521,1668368
Iran,71758,2499077
Iraq,15465,1065199
Ireland,4903,248870
"Isle of Man",NULL,NULL
Israel,6363,838481
Italy,120807,4022653
Jamaica,778,45578
Japan,10199,593264
Jersey,NULL,NULL
Jordan,8836,711373
Kazakhstan,3334,375539
Kenya,2724,159318
Kosovo,2134,103638
Kuwait,1563,273991
Kyrgyzstan,1604,95275
Laos,NULL,757
Latvia,2131,118558
Lebanon,7278,526578
Lesotho,316,10731
Liberia,85,2099
Libya,3029,177508
Liechtenstein,57,2926
Lithuania,3923,247269
Luxembourg,796,67205
Macao,NULL,NULL
Madagascar,643,37014
Malawi,1148,34078
Malaysia,1506,408713
Maldives,73,29835
Mali,484,13858
Malta,413,30292
"Marshall Islands",NULL,4
Mauritania,455,18402
Mauritius,17,1209
Mexico,216907,2344755
"Micronesia (country)",NULL,1
Moldova,5812,250837
Monaco,32,2454
Mongolia,115,37285
Montenegro,1495,97389
Montserrat,NULL,NULL
Morocco,9023,511249
Mozambique,814,69917
Myanmar,3209,142817
Namibia,642,48351
Nauru,NULL,NULL
Nepal,3279,323187
Netherlands,17398,1522973
"New Zealand",26,2613
Nicaragua,182,6898
Niger,191,5228
Nigeria,2063,165110
"North Macedonia",4855,152367
"Northern Cyprus",NULL,NULL
Norway,756,112970
Oman,2010,193253
Pakistan,17957,825519
Palestine,3249,296462
Panama,6232,364576
"Papua New Guinea",107,10997
Paraguay,6385,279077
Peru,61477,1799445
Philippines,17234,1037460
Poland,67502,2792142
Portugal,16974,836493
Qatar,458,205652
Romania,28109,1055265
Russia,108290,4750755
Rwanda,335,25116
"Saint Helena",NULL,NULL
"Saint Kitts and Nevis",NULL,44
"Saint Lucia",74,4552
"Saint Vincent and the Grenadin",11,1864
Samoa,NULL,3
"San Marino",90,5066
"Sao Tome and Principe",35,2302
"Saudi Arabia",6957,417363
Senegal,1107,40344
Serbia,6362,689557
Seychelles,28,5873
"Sierra Leone",79,4054
Singapore,30,61145
Slovakia,11684,382211
Slovenia,4250,240292
"Solomon Islands",NULL,20
Somalia,713,13915
"South Africa",54350,1581210
"South Korea",1831,122634
"South Sudan",115,10583
Spain,78216,3524077
"Sri Lanka",678,108146
Sudan,2349,33944
Suriname,204,10363
Sweden,14048,973604
Switzerland,10632,659974
Syria,1592,22733
Taiwan,12,1128
Tajikistan,90,13308
Tanzania,21,509
Thailand,203,65153
Timor,3,2276
Togo,123,12967
Tonga,NULL,NULL
"Trinidad and Tobago",169,10824
Tunisia,10722,309119
Turkey,40131,4820591
"Turks and Caicos Islands",NULL,NULL
Uganda,342,41866
Ukraine,45923,2124070
"United Arab Emirates",1587,520236
"United Kingdom",127775,4432246
"United States",576232,32346971
Uruguay,2616,198428
Uzbekistan,649,90808
Vanuatu,1,4
Vatican,NULL,27
Venezuela,2136,197683
Vietnam,35,2928
Yemen,1226,6317
Zambia,1251,91586
Zimbabwe,1567,38257
